id,qno,chapter,questionType,stem,optionA,optionB,optionC,optionD,optionE,correctAnswer,analysis,difficulty,source,isActive
q_00001,1,第一章 电力市场基础,single,"商品的价格越高需求量越低,价格越低需求量越高,这种相互依存的负相关关系, 被称为( )",价格规律,供给规律,需求规律,价值规律,,C,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00002,2,第一章 电力市场基础,single,"商晶的需求量越高价格越高,需求量越低价格越低,这种相互依存的正比关系'被 称为( )",供给规律,价格规律,价值规律,需求规律,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00003,3,第一章 电力市场基础,single,( )水平是由电能价值决定的基础价格和由供求关系规律决定的供求价格组成,利润,电价,成本,管理,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00004,4,第一章 电力市场基础,single,电力市场的载体是( ),配电商,输配电网,电力库,通信设备,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00005,5,第一章 电力市场基础,multiple,"电力市场与普通商品市场相比具有显著的特殊性,归根到底就在于电力商品与其他 一般商品的差异性。电能与其他商品最本质差异在于其( )",成本属性,自然属性,社会属性,传输属性,,BC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00006,6,第一章 电力市场基础,single,市场实现对资源优化配置的重要杠杆是( ),价格机制,供求机制,竟争机制,市场机制,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00007,7,第一章 电力市场基础,single,英国电力市场电价构成包括( ),平衡市场确定的电量电价和不平衡电价,双边合同确定的电量电价和不平衡电价,双边合同确定的电量电价和平衡市场确定的电量电价,双边合同确定的电量电价、平衡市场确定的电量电价和不平衡电价,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00008,8,第一章 电力市场基础,multiple,欧盟内部能源电力市场包括( ),日前(DA)市场,日内(ID)市场,平衡市场,远期市场 ゜,,ABCD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00009,9,第一章 电力市场基础,single,美国PJM采用的节点边际电价包括( ),系统电能价格和输电阻塞价格,输电阻塞价格和网损价格,系统电能价格和网损价格,系统电能价格、输电阻塞价格和网损价格,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00010,10,第一章 电力市场基础,single,美国ERCOT市场三部制报价包括( ),Pm电力市场,澳大利亚电力市场,英国电力市场,北欧电力市场 O,,D,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00011,12,第一章 电力市场基础,single,美国得克萨斯电力市场中辅助服务出清的性质是( ),实物+金融性质,实物性质,金融性质,以上均不正确,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00012,13,第一章 电力市场基础,single,"由于政府的特许经营,可能形成的一种市场类型是( )",完全垄断市场,完全竟争市场,垄断竟争市场,寡头垄断市场 O,,A,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00013,14,第一章 电力市场基础,single,下列选项中不属于电力金融交易的是( ),期权交易,辅助服务交易,期货交易,差价合同交易,,B,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00014,15,第一章 电力市场基础,multiple,电力资源配置的三种作用力是( ),市场价格,企业管理,政府指令,发电资源,,ABC,暂无解析,未设置,电力交易题库_结构化初版.docx,true
q_00015,16,第一章 电力市场基础,multiple,北欧电力交易所股东包括( )。 -、不定项选择题,德国电网公司,英国电网公司,北欧和波罗的海电网公司,泛欧洲证券交易所,,CD,暂无解析,未设置,电力交易题库_结构化初版.docx,true
